Route,Vehicle,Activity,Job_µµÂøÁöÁ¡ÀÇ index,Arrive_Load,Leave_Load,Wait_Time,Arrive_Time,Leave_Time,Distance,Costs
#20,19,finish,0,0.0,0.0,0,817.58,877.58,56.97,166.97
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#21,24,start,0,32.10152581067986,32.10152581067986,0,0,0,0.0,150
#21,24,service,19,32.10152581067986,0.0,346.34,73.66,480,45.88,205.05
#21,24,finish,0,0.0,0.0,0,552.4,612.4,92.24,260.68
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#22,31,start,0,47.78168475735109,47.78168475735109,0,0,0,0.0,200
#22,31,service,14,47.78168475735109,37.19385782842383,489.18,230.82,780,37.33,256.0
#22,31,service,21,37.19385782842383,0.0,530.89,969.11,1560,42.99,264.49
#22,31,finish,0,0.0,0.0,0,1604.92,1664.92,83.89,325.83
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
#23,6,start,0,7.644758652765159,7.644758652765159,0,0,0,0.0,80
#23,6,service,4,7.644758652765159,0.0,676.7,43.3,780,20.44,96.35
#23,6,finish,0,0.0,0.0,0,818.62,878.62,43.51,114.81
-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-,-//-
MAX TIME,,,,,,,,1712.96,,
TOTAL,,,,,,,,,1741.61,4765.55
